iter	Passed	Remaining
0	1	176
1	3	174
2	5	166
3	6	153
4	7	148
5	9	144
6	10	140
7	11	137
8	13	135
9	14	133
10	16	131
11	17	129
12	18	126
13	20	125
14	21	122
15	23	121
16	24	119
17	25	118
18	27	116
19	28	114
20	30	113
21	31	111
22	32	110
23	34	108
24	35	106
25	37	105
26	38	104
27	39	102
28	41	101
29	42	99
30	43	97
31	45	96
32	46	94
33	48	93
34	49	91
35	50	90
36	52	89
37	53	87
38	55	86
39	56	84
40	57	83
41	58	80
42	59	79
43	61	77
44	62	76
45	63	74
46	65	73
47	66	72
48	68	70
49	69	69
50	70	68
51	72	66
52	73	65
53	75	63
54	75	62
55	77	60
56	78	59
57	80	58
58	81	56
59	83	55
60	84	54
61	85	52
62	87	51
63	88	49
64	90	48
65	91	47
66	92	45
67	94	44
68	95	42
69	96	41
70	98	40
71	99	38
72	100	37
73	102	35
74	103	34
75	105	33
76	106	31
77	107	30
78	109	29
79	110	27
80	111	26
81	113	24
82	114	23
83	116	22
84	117	20
85	118	19
86	120	18
87	121	16
88	123	15
89	124	13
90	125	12
91	127	11
92	128	9
93	129	8
94	131	6
95	132	5
96	133	4
97	135	2
98	136	1
99	137	0
